title,price,area,km,year,date,link,price_clean,year_clean,km_clean,area_clean
VinFast VF3 2025 Xanh 23.000 km - pin thuê giá rẻ,235.000.000 đ,Quận 7,,,2026-03-27 23:58:00,https://xe.chotot.com/ad/129885275.htm,235000000.0,2025.0,,Ho Chi Minh
Honda Wave RSX Đen 43999 km,7.300.000 đ,Thành phố Thủ Đức,,,2026-03-27 23:46:56,https://xe.chotot.com/ad/131450967.htm,7300000.0,,,Ho Chi Minh
Xe máy điện VinFast Evo Grand Vàng cát,21.000.000 đ,Quận 12,,,2026-03-27 23:46:49,https://xe.chotot.com/ad/131469911.htm,21000000.0,,,Quận 12
Audi A4 model 2015 màu đen cực ngầu siêu đẹp,489.000.000 đ,Quận 7,,,2026-03-27 23:42:59,https://xe.chotot.com/ad/127926063.htm,489000000.0,2015.0,,Ho Chi Minh
Vespa 50cc bstp đèn vuông giấy tờ đầy đủ đk 2023,13.900.000 đ,Quận Bình Tân,,,2026-03-27 23:30:34,https://xe.chotot.com/ad/128651639.htm,13900000.0,2023.0,,Ho Chi Minh
GLC300 AMG Model 2021 cá nhân 1 chủ siêu đẹp,1.399.000.000 đ,Quận 7,,,2026-03-27 23:27:58,https://xe.chotot.com/ad/130663984.htm,1399000000.0,2021.0,,Ho Chi Minh
Xe đạp Xaming 24in Xanh đen,650.000 đ,Thành phố Thủ Đức,,,2026-03-27 23:23:22,https://xe.chotot.com/ad/131469764.htm,650000.0,,,Ho Chi Minh
Crea 50cc Giorno 50cc bstp hcm chính chủ máy zin,13.000.000 đ,Quận Bình Tân,,,2026-03-27 23:20:36,https://xe.chotot.com/ad/130993729.htm,13000000.0,,,Ho Chi Minh
Honda SH 158 2015 Trắng Đã sử dụng,43.000.000 đ,Quận Tân Phú,,,2026-03-27 23:15:44,https://xe.chotot.com/ad/131404063.htm,43000000.0,2015.0,,Quận Tân Phú
GLC200 facelift - 2021 màu đen rất ngầu siêu đẹp,1.099.000.000 đ,Quận 7,,,2026-03-27 23:13:03,https://xe.chotot.com/ad/130480531.htm,1099000000.0,2021.0,,Ho Chi Minh
Dòngfeng sx  2014 .8.2 tấn,365.000.000 đ,Huyện Bình Chánh,,,2026-03-27 23:11:42,https://xe.chotot.com/ad/130954070.htm,365000000.0,2014.0,,Huyện Bình Chánh
Yamaha Sirius RC 2014 Đen,10.500.000 đ,Quận Tân Phú,,,2026-03-27 23:05:45,https://xe.chotot.com/ad/130940275.htm,10500000.0,2014.0,,Quận Tân Phú
Piaggio Liberty 3vie 2012 Trắng,6.000.000 đ,Quận Phú Nhuận,,,2026-03-27 23:00:28,https://xe.chotot.com/ad/131433474.htm,6000000.0,2012.0,,Quận Phú Nhuận
"CRV RS 2.0HEV 2024 NHẬP THÁI, LÊN 100TR PHỤ KIỆN",1.260.000.000 đ,Quận 10,,,2026-03-27 23:00:03,https://xe.chotot.com/ad/131382733.htm,1260000000.0,2024.0,,Quận 10
Mazda CX30 - 2.0 Luxury Sx 2023 - Xe gầm siêu đẹp,625.000.000 đ,Quận 7,,,2026-03-27 22:58:02,https://xe.chotot.com/ad/130670180.htm,625000000.0,2023.0,,Ho Chi Minh
Honda Wave S 2010 Đỏ,9.000.000 đ,Quận Tân Phú,,,2026-03-27 22:55:46,https://xe.chotot.com/ad/131382356.htm,9000000.0,2010.0,,Quận Tân Phú
Exciter Wave Sirus 50 cc qua sử dụng giấy tờ đủ,8.700.000 đ,Quận Bình Tân,,,2026-03-27 22:52:10,https://xe.chotot.com/ad/131325358.htm,8700000.0,,,Ho Chi Minh
VinFast VF3 Đỏ  Mới chưa lăn bánh sạc ko giới hạn,249.000.000 đ,Quận Bình Tân,,,2026-03-27 22:51:49,https://xe.chotot.com/ad/131179312.htm,249000000.0,,,Ho Chi Minh
Dongfeng 14 tấn 2011,420.000.000 đ,Huyện Bình Chánh,,,2026-03-27 22:51:44,https://xe.chotot.com/ad/131326430.htm,420000000.0,2011.0,,Huyện Bình Chánh
Vision fi 2013 bstp zin ken,13.900.000 đ,Quận Tân Bình,,,2026-03-27 22:47:13,https://xe.chotot.com/ad/131302843.htm,13900000.0,2013.0,,Quận Tân Bình
Honda Wave RSX Fi 2017 Đỏ đen,11.500.000 đ,Quận Tân Phú,,,2026-03-27 22:45:47,https://xe.chotot.com/ad/131322356.htm,11500000.0,2017.0,,Quận Tân Phú
Ssangyong Rexton 2009 Bạc,115.000.000 đ,Thành phố Thủ Đức,,,2026-03-27 22:45:27,https://xe.chotot.com/ad/131061522.htm,115000000.0,2009.0,,Ho Chi Minh
E250 2019 màu trắng nội thất nâu siêu đẹp,999.000.000 đ,Quận 7,,,2026-03-27 22:43:01,https://xe.chotot.com/ad/130301925.htm,999000000.0,2019.0,,Ho Chi Minh
Toyota Fortuner 2015 Dầu MT,47.500.000 đ,Quận Tân Phú,,,2026-03-27 22:42:50,https://xe.chotot.com/ad/131469494.htm,47500000.0,2015.0,,Quận Tân Phú
IZ49 Xanh,185.000.000 đ,Huyện Bình Chánh,,,2026-03-27 22:42:16,https://xe.chotot.com/ad/131396267.htm,185000000.0,,,Huyện Bình Chánh
Hyundai Elantra giá thuê ô tô 14tr/tháng mới 99%,14.000.000 đ,Quận 12,,,2026-03-27 22:39:30,https://xe.chotot.com/ad/131263797.htm,14000000.0,,,Quận 12
BMW 528i 2010 F10 máy N52 bảo dưỡng + đồ chơi full,355.000.000 đ,Thành phố Thủ Đức,,,2026-03-27 22:38:55,https://xe.chotot.com/ad/130354727.htm,355000000.0,2010.0,,Ho Chi Minh
Ab 2013 xe đẹp keng chính chủ,10.500.000 đ,Quận Tân Phú,,,2026-03-27 22:38:35,https://xe.chotot.com/ad/131469465.htm,10500000.0,2013.0,,Quận Tân Phú
SYM Attila Fi màu Trắng,5.300.000 đ,Huyện Hóc Môn,,,2026-03-27 22:38:29,https://xe.chotot.com/ad/131469464.htm,5300000.0,,,Huyện Hóc Môn
AB 2019 khoá msk máy zin ken,28.900.000 đ,Quận Tân Bình,,,2026-03-27 22:37:09,https://xe.chotot.com/ad/131279342.htm,28900000.0,2019.0,,Quận Tân Bình
